Scenario ID,Type,Scenario Name,Description,KPI ID,Impact Type,Impact Value,Plausibility,Severity,Recovery Qtrs,Mitigation Lever,Calibration Source
Period_ID,Year,Quarter,Period_Type,Service_Revenue,Service_Revenue_Flag,Total_Revenue,Total_Revenue_Flag,EBITDA,EBITDA_Flag,EBITDA_Margin_Pct,EBITDA_Margin_Flag,PAT,PAT_Flag,PAT_Margin_Pct,PAT_Margin_Flag,Opex,Opex_Flag,Capex,Capex_Flag,EPS_GHS,EPS_Flag
2020Q1,2020,Q1,Quarter,1450,I,1490,I,790,I,53,I,310,I,20.8,I,700,I,310,I,0.0235,I
2020Q2,2020,Q2,Quarter,1520,I,1560,I,825,I,52.9,I,335,I,21.5,I,735,I,330,I,0.0254,I
2020Q3,2020,Q3,Quarter,1635,I,1680,I,895,I,53.3,I,375,I,22.3,I,785,I,360,I,0.0285,I
2020Q4,2020,Q4,Quarter,1825,I,1875,I,1010,I,53.9,I,440,I,23.5,I,865,I,410,I,0.0334,I
2021Q1,2021,Q1,Quarter,1985,I,2035,I,1095,I,53.8,I,490,I,24.1,I,940,I,425,I,0.0372,I
2021Q2,2021,Q2,Quarter,2150,I,2200,I,1185,I,53.9,I,535,I,24.3,I,1015,I,460,I,0.0406,I
2021Q3,2021,Q3,Quarter,2290,I,2345,I,1265,I,53.9,I,580,I,24.7,I,1080,I,495,I,0.044,I
2021Q4,2021,Q4,Quarter,2575,I,2640,I,1455,I,54.7,I,675,I,25.6,I,1185,I,580,I,0.0512,I
2022Q1,2022,Q1,Quarter,2825,I,2890,I,1605,I,55.5,I,755,I,26.1,I,1285,I,550,I,0.0573,I
2022Q2,2022,Q2,Quarter,3050,I,3120,I,1740,I,55.8,I,825,I,26.4,I,1380,I,605,I,0.0626,I
2022Q3,2022,Q3,Quarter,3320,I,3395,I,1895,I,55.8,I,910,I,26.8,I,1500,I,675,I,0.069,I
2022Q4,2022,Q4,Quarter,3805,I,3895,I,2160,I,55.7,I,1075,I,27.6,I,1745,I,800,I,0.0816,I
2023Q1,2023,Q1,Quarter,3725,I,3815,I,2090,I,55.7,I,1020,I,26.7,I,1735,I,675,I,0.0774,I
2023Q2,2023,Q2,Quarter,4075,I,4170,I,2305,I,55.7,I,1135,I,27.2,I,1865,I,755,I,0.0861,I
2023Q3,2023,Q3,Quarter,4520,I,4625,I,2570,I,55.6,I,1280,I,27.7,I,2055,I,855,I,0.0972,I
2023Q4,2023,Q4,Quarter,5580,I,5710,I,3185,I,55.8,I,1565,I,27.4,I,2525,I,1115,I,0.1188,I
2024Q1,2024,Q1,Quarter,4910,I,5020,I,2780,I,55.7,I,1395,I,27.8,I,2240,I,995,I,0.1059,I
2024Q2,2024,Q2,Quarter,5475,I,5605,I,3115,I,55.5,I,1565,I,27.9,I,2490,I,1115,I,0.1188,I
2024Q3,2024,Q3,Quarter,6055,I,6195,I,3450,I,55.7,I,1735,I,28,I,2745,I,1240,I,0.1317,I
2024Q4,2024,Q4,Quarter,7460,I,7630,I,4255,I,55.8,I,2150,I,28.2,I,3375,I,1530,I,0.1632,I
2025Q1,2025,Q1,Quarter,5395,I,5520,I,3145,I,57,I,1690,I,30.6,I,2350,I,1185,I,0.1283,R
2025Q2,2025,Q2,Quarter,5905,I,6045,I,3455,I,57.2,I,1910,I,31.6,I,2590,I,1295,I,0.145,R
2025Q3,2025,Q3,Quarter,6275,E,6420,E,3780,E,60.2,E,2010,E,31.3,E,2495,E,1370,E,0.1525,E
2025Q4,2025,Q4,Quarter,6825,E,6985,E,4315,E,63.2,E,2190,E,32.1,E,2510,E,1495,E,0.1665,EPeriod_ID,Year,Period_Type,Service_Revenue,Service_Revenue_Flag,Service_Rev_Growth_Pct,EBITDA,EBITDA_Flag,EBITDA_Growth_Pct,EBITDA_Margin_Pct,PAT,PAT_Flag,PAT_Growth_Pct,PAT_Margin_Pct,EPS_GHS,EPS_Growth_Pct,Total_Opex,Capex,Capex_Intensity_Pct,Dividend_Per_Share_GHS,Total_Assets,Total_Liabilities
2020FY,2020,Annual,6430,R,,3520,R,,54.7,1460,R,,22.7,0.1108,,3035,1410,21.9,0.12,11200,8850
2021FY,2021,Annual,9000,R,40,5000,R,42,55.6,2280,R,56.2,25.3,0.173,56.1,4045,1960,21.8,0.137,14500,11200
2022FY,2022,Annual,13000,R,44.4,7400,R,48,56.9,3565,R,56.4,27.4,0.2705,56.4,5910,2630,20.2,0.169,19800,15100
2023FY,2023,Annual,17900,R,37.7,10150,R,37.2,56.7,5000,R,40.3,27.9,0.3795,40.3,8180,3400,19,0.185,28500,21500
2024FY,2024,Annual,23900,R,33.5,13660,R,34.6,57.1,6845,R,36.9,28.6,0.5196,36.9,11240,4880,20.4,0.32,41400,30930
2025FY,2025,Annual,24400,R,36.2,14700,R,43.5,60.1,7800,R,55.9,32,0.5923,55.9,12100,5545,22.7,0.48,49500,36800Period_ID,Year,Half,Period_Type,Service_Revenue,Service_Revenue_Flag,EBITDA,EBITDA_Flag,EBITDA_Margin_Pct,EBITDA_Margin_Flag,PAT,PAT_Flag,EPS_GHS,EPS_Flag,Dividend_Per_Share_GHS,Dividend_Flag
2020H1,2020,H1,Half,2970,R,1615,R,52.9,R,645,R,0.0489,R,0.04,R
2020H2,2020,H2,Half,3460,R,1905,R,53.4,R,815,R,0.0619,R,0.08,R
2021H1,2021,H1,Half,4135,R,2280,R,53.8,R,1025,R,0.0778,R,0.045,R
2021H2,2021,H2,Half,4865,R,2720,R,54.3,R,1255,R,0.0952,R,0.092,R
2022H1,2022,H1,Half,5875,R,3345,R,55.6,R,1580,R,0.1199,R,0.055,R
2022H2,2022,H2,Half,7125,R,4055,R,55.8,R,1985,R,0.1506,R,0.114,R
2023H1,2023,H1,Half,7800,R,4395,R,55.6,R,2155,R,0.1635,R,0.06,R
2023H2,2023,H2,Half,10100,R,5755,R,55.7,R,2845,R,0.216,R,0.125,R
2024H1,2024,H1,Half,10385,R,5895,R,55.5,R,2960,R,0.2247,R,0.065,R
2024H2,2024,H2,Half,13515,R,7705,R,56.5,R,3885,R,0.2949,R,0.255,R
2025H1,2025,H1,Half,11300,R,6600,R,58.4,R,3600,R,0.2733,R,0.08,R
2025H2,2025,H2,Half,13100,R,8100,R,61.2,R,4200,R,0.319,R,0.4,RPeriod_ID,Year,Data_Revenue,Data_Growth_Pct,Data_Share_Pct,Voice_Revenue,Voice_Growth_Pct,Voice_Share_Pct,MoMo_Revenue,MoMo_Growth_Pct,MoMo_Share_Pct,Digital_Revenue,Digital_Growth_Pct,Digital_Share_Pct,SMS_Revenue,Other_Revenue
2020FY,2020,2125,,33,2725,,42.4,1017,,15.8,61,,0.9,220,282
2021FY,2021,3375,58.8,37.5,3295,20.9,36.6,1800,77,20,114,86.9,1.3,208,208
2022FY,2022,5660,67.7,43.5,4185,27,32.2,2810,56.1,21.6,209,83.3,1.6,200,-64
2023FY,2023,8340,47.3,46.6,4240,1.3,23.7,4525,61,25.3,379,81.3,2.1,184,232
2024FY,2024,12005,43.9,50.2,3740,-11.8,15.6,6485,43.3,27.1,755,99.2,3.2,160,755
2025FY,2025,12835,6.9,52.6,4020,7.5,16.5,6000,-7.5,24.6,410,-45.7,1.7,148,987Period_ID,Year,Quarter,Data_Revenue,Data_Flag,Voice_Revenue,Voice_Flag,MoMo_Revenue,MoMo_Flag,Digital_Revenue,Digital_Flag,SMS_Revenue,SMS_Flag,Roaming_Wholesale_Other,Other_Flag
2020Q1,2020,Q1,460,I,635,I,210,I,12,I,55,I,78,I
2020Q2,2020,Q2,495,I,655,I,232,I,14,I,55,I,69,I
2020Q3,2020,Q3,545,I,690,I,265,I,16,I,55,I,64,I
2020Q4,2020,Q4,625,I,745,I,310,I,19,I,55,I,71,I
2021Q1,2021,Q1,710,I,790,I,365,I,22,I,52,I,46,I
2021Q2,2021,Q2,790,I,820,I,420,I,26,I,52,I,42,I
2021Q3,2021,Q3,865,I,855,I,470,I,30,I,52,I,18,I
2021Q4,2021,Q4,1010,I,930,I,545,I,36,I,52,I,2,I
2022Q1,2022,Q1,1190,I,985,I,580,I,42,I,50,I,-22,I
2022Q2,2022,Q2,1305,I,1015,I,650,I,48,I,50,I,-18,I
2022Q3,2022,Q3,1450,I,1055,I,725,I,54,I,50,I,-14,I
2022Q4,2022,Q4,1715,I,1130,I,855,I,65,I,50,I,-10,I
2023Q1,2023,Q1,1685,I,995,I,915,I,75,I,46,I,9,I
2023Q2,2023,Q2,1870,I,1030,I,1015,I,85,I,46,I,29,I
2023Q3,2023,Q3,2105,I,1070,I,1145,I,96,I,46,I,58,I
2023Q4,2023,Q4,2680,I,1145,I,1450,I,123,I,46,I,136,I
2024Q1,2024,Q1,2425,I,890,I,1335,I,148,I,40,I,72,I
2024Q2,2024,Q2,2735,I,925,I,1485,I,170,I,40,I,120,I
2024Q3,2024,Q3,3050,I,950,I,1640,I,195,I,40,I,180,I
2024Q4,2024,Q4,3795,I,975,I,2025,I,242,I,40,I,383,I
2025Q1,2025,Q1,2845,I,985,I,1335,I,90,R,38,I,102,I
2025Q2,2025,Q2,3170,I,1015,I,1485,I,100,R,38,I,97,I
2025Q3,2025,Q3,3275,E,1005,E,1525,E,105,E,36,E,329,E
2025Q4,2025,Q4,3545,E,1015,E,1655,E,115,E,36,E,459,EPeriod_ID,Year,Total_Subscribers_M,Subs_Growth_Pct,Active_Data_Subs_M,Data_Subs_Growth_Pct,Data_Penetration_Pct,Active_MoMo_Users_M,MoMo_Growth_Pct,MoMo_Penetration_Pct,Data_Usage_GB_Annual,Voice_MoU_Annual,4G_Coverage_Pct,Network_Sites,Avg_ARPU_GHS,Capex_per_Sub_GHS
2020FY,2020,24.1,,11.4,,47.3,12.8,,53.1,3.6,675,87,6050,22.3,58.5
2021FY,2021,25.7,6.6,13.5,18.4,52.5,14.6,14.1,56.8,4.8,665,93,6580,29.2,76.3
2022FY,2022,26.5,3.1,15,11.1,56.6,15.3,4.8,57.7,6.1,610,96,7120,40.8,99.2
2023FY,2023,27.2,2.6,16,6.7,58.8,15.7,2.6,57.7,7.9,580,98,7650,54.8,125
2024FY,2024,28.5,4.8,17.5,9.4,61.4,17.2,9.6,60.4,9.8,545,99,8170,69.8,171.2
2025FY,2025,31.2,9.5,19.9,13.7,63.8,19.3,12.2,61.9,14.5,605,99.5,8650,66.9,177.7
Period_ID,Year,Quarter,Total_Subscribers_M,Subs_Flag,Active_Data_Subs_M,Data_Subs_Flag,Active_MoMo_Users_M,MoMo_Users_Flag,Data_Usage_GB_Per_User,Usage_Flag,Voice_MoU_Per_User,MoU_Flag,4G_Coverage_Pct,Coverage_Flag,Network_Sites,Sites_Flag,ARPU_GHS,ARPU_Flag
2020Q1,2020,Q1,22.6,I,9.8,I,11.2,I,3.2,I,165,I,82.5,I,5650,I,21.4,I
2020Q2,2020,Q2,23.1,I,10.4,I,11.9,I,3.4,I,168,I,84,I,5780,I,22,I
2020Q3,2020,Q3,23.8,I,11,I,12.5,I,3.7,I,170,I,85.5,I,5910,I,22.9,I
2020Q4,2020,Q4,24.1,I,11.4,I,12.8,I,4,I,172,I,87,I,6050,I,25.2,I
2021Q1,2021,Q1,24.5,I,12,I,13.3,I,4.3,I,170,I,88.5,I,6180,I,27,I
2021Q2,2021,Q2,24.9,I,12.5,I,13.8,I,4.6,I,168,I,90,I,6310,I,28.8,I
2021Q3,2021,Q3,25.3,I,13,I,14.2,I,4.9,I,165,I,91.5,I,6440,I,30.2,I
2021Q4,2021,Q4,25.7,I,13.5,I,14.6,I,5.3,I,163,I,93,I,6580,I,33.4,I
2022Q1,2022,Q1,26,I,14,I,14.9,I,5.6,I,160,I,94,I,6720,I,36.2,I
2022Q2,2022,Q2,26.2,I,14.4,I,15.1,I,5.9,I,158,I,94.8,I,6850,I,38.8,I
2022Q3,2022,Q3,26.4,I,14.7,I,15.2,I,6.2,I,155,I,95.5,I,6980,I,41.9,I
2022Q4,2022,Q4,26.5,I,15,I,15.3,I,6.6,I,153,I,96,I,7120,I,47.9,I
2023Q1,2023,Q1,26.7,I,15.2,I,15.4,I,7.1,I,150,I,96.5,I,7260,I,46.5,I
2023Q2,2023,Q2,26.9,I,15.4,I,15.5,I,7.6,I,148,I,97,I,7390,I,50.5,I
2023Q3,2023,Q3,27.1,I,15.7,I,15.6,I,8.2,I,145,I,97.5,I,7510,I,55.6,I
2023Q4,2023,Q4,27.2,I,16,I,15.7,I,8.9,I,143,I,98,I,7650,I,68.4,I
2024Q1,2024,Q1,27.5,I,16.3,I,16,I,9.2,I,140,I,98.3,I,7780,I,59.5,I
2024Q2,2024,Q2,27.8,I,16.6,I,16.4,I,9.6,I,138,I,98.6,I,7900,I,65.7,I
2024Q3,2024,Q3,28.2,I,17,I,16.8,I,10,I,135,I,98.9,I,8030,I,71.6,I
2024Q4,2024,Q4,28.5,R,17.5,R,17.2,R,10.5,I,138,I,99,R,8170,I,87.3,I
2025Q1,2025,Q1,29.4,I,17.8,I,17.4,I,12.5,I,150,I,99.1,I,8290,I,61.2,I
2025Q2,2025,Q2,30.2,R,18.2,R,17.7,R,14,R,160,R,99.3,R,8420,I,65.2,I
2025Q3,2025,Q3,30.7,E,19,E,18.5,E,14.5,E,155,E,99.4,E,8540,E,68.2,E
2025Q4,2025,Q4,31.2,R,19.9,R,19.3,R,15,R,158,R,99.5,R,8650,E,72.9,E
Period_ID,Year,Quarter,Period_Type,CAC_Proxy_GHS,CAC_Flag,Network_Utilization_Pct,NetUtil_Flag,Data_Session_Failure_Pct,DSF_Flag,MoMo_Trans_Per_User_Monthly,MoMoTrans_Flag,SIM_Activation_Index,SIM_Flag,Working_Capital_Days,WC_Flag,Receivables_Days,Recv_Flag,Cedi_USD_Rate_Avg,FX_Flag,Inflation_YoY_Pct,Infl_Flag,Policy_Rate_Pct,Rate_Flag
2020Q1,2020,Q1,Quarter,42,P,58,P,3.5,P,18,P,100,P,28,E,32,E,5.65,R,7.8,R,16,R
2020Q4,2020,Q4,Quarter,45,P,62,P,3.2,P,22,P,108,P,30,E,34,E,5.8,R,10.4,R,14.5,R
2021Q2,2021,Q2,Quarter,48,P,65,P,3,P,26,P,115,P,29,E,33,E,5.95,R,7.8,R,13.5,R
2021Q4,2021,Q4,Quarter,52,P,68,P,2.8,P,30,P,122,P,31,E,35,E,6.1,R,12.6,R,14.5,R
2022Q2,2022,Q2,Quarter,58,P,71,P,2.7,P,34,P,128,P,33,E,38,E,8.45,R,29.8,R,19,R
2022Q4,2022,Q4,Quarter,68,P,73,P,2.9,P,38,P,132,P,38,E,42,E,12.85,R,54.1,R,27,R
2023Q2,2023,Q2,Quarter,72,P,74,P,2.6,P,42,P,135,P,36,E,40,E,11.2,R,42.5,R,29.5,R
2023Q4,2023,Q4,Quarter,75,P,76,P,2.4,P,46,P,138,P,34,E,38,E,11.85,R,23.2,R,30,R
2024Q2,2024,Q2,Quarter,78,P,78,P,2.3,P,52,P,142,P,33,E,36,E,14.65,R,22.8,R,29,R
2024Q4,2024,Q4,Quarter,82,P,80,P,2.2,P,58,P,148,P,32,E,35,E,14.95,R,23.8,R,27,R
2025Q1,2025,Q1,Quarter,78,P,79,P,2,P,62,P,155,P,30,E,33,E,14.5,R,23.5,R,27,R
2025Q2,2025,Q2,Quarter,75,P,80,P,1.9,P,68,P,162,P,28,E,31,E,12.2,R,13.7,R,21.5,R
2025Q3,2025,Q3,Quarter,72,P,81,P,1.8,P,72,P,168,P,26,E,29,E,10.85,R,9.2,R,18,R
2025Q4,2025,Q4,Quarter,70,P,82,P,1.7,P,76,P,174,P,25,E,28,E,8.85,R,5.4,R,16,R
Period_ID,Year,Quarter,Period_Type,CAC_Proxy_GHS,CAC_Flag,Network_Utilization_Pct,NetUtil_Flag,Data_Session_Failure_Pct,DSF_Flag,MoMo_Trans_Per_User_Monthly,MoMoTrans_Flag,SIM_Activation_Index,SIM_Flag,Working_Capital_Days,WC_Flag,Receivables_Days,Recv_Flag,Cedi_USD_Rate_Avg,FX_Flag,Inflation_YoY_Pct,Infl_Flag,Policy_Rate_Pct,Rate_Flag
2020Q1,2020,Q1,Quarter,42,P,58,P,3.5,P,18,P,100,P,28,E,32,E,5.65,R,7.8,R,16,R
2020Q4,2020,Q4,Quarter,45,P,62,P,3.2,P,22,P,108,P,30,E,34,E,5.8,R,10.4,R,14.5,R
2021Q2,2021,Q2,Quarter,48,P,65,P,3,P,26,P,115,P,29,E,33,E,5.95,R,7.8,R,13.5,R
2021Q4,2021,Q4,Quarter,52,P,68,P,2.8,P,30,P,122,P,31,E,35,E,6.1,R,12.6,R,14.5,R
2022Q2,2022,Q2,Quarter,58,P,71,P,2.7,P,34,P,128,P,33,E,38,E,8.45,R,29.8,R,19,R
2022Q4,2022,Q4,Quarter,68,P,73,P,2.9,P,38,P,132,P,38,E,42,E,12.85,R,54.1,R,27,R
2023Q2,2023,Q2,Quarter,72,P,74,P,2.6,P,42,P,135,P,36,E,40,E,11.2,R,42.5,R,29.5,R
2023Q4,2023,Q4,Quarter,75,P,76,P,2.4,P,46,P,138,P,34,E,38,E,11.85,R,23.2,R,30,R
2024Q2,2024,Q2,Quarter,78,P,78,P,2.3,P,52,P,142,P,33,E,36,E,14.65,R,22.8,R,29,R
2024Q4,2024,Q4,Quarter,82,P,80,P,2.2,P,58,P,148,P,32,E,35,E,14.95,R,23.8,R,27,R
2025Q1,2025,Q1,Quarter,78,P,79,P,2,P,62,P,155,P,30,E,33,E,14.5,R,23.5,R,27,R
2025Q2,2025,Q2,Quarter,75,P,80,P,1.9,P,68,P,162,P,28,E,31,E,12.2,R,13.7,R,21.5,R
2025Q3,2025,Q3,Quarter,72,P,81,P,1.8,P,72,P,168,P,26,E,29,E,10.85,R,9.2,R,18,R
2025Q4,2025,Q4,Quarter,70,P,82,P,1.7,P,76,P,174,P,25,E,28,E,8.85,R,5.4,R,16,R
Period_ID,Year,Period_Type,GDP_Growth_Pct,Inflation_YoY_Pct,Policy_Rate_Pct,Cedi_USD_Avg,Cedi_USD_YoY_Change_Pct,Telecom_Sector_GDP_Share_Pct,Mobile_Penetration_Pct,Data_Penetration_Pct
2020FY,2020,Annual,0.5,9.9,14.5,5.73,-3.5,2.4,134,52
2021FY,2021,Annual,5.4,12.6,14.5,5.95,-3.8,2.5,140,58
2022FY,2022,Annual,3.1,54.1,27,8.95,-50.4,2.6,143,64
2023FY,2023,Annual,2.9,23.2,30,11.5,-28.5,2.8,145,68
2024FY,2024,Annual,5.7,23.8,27,14.8,-28.7,3,148,72
2025FY,2025,Annual,6.5,5.4,16,11.6,21.6,3.3,151,76
Period_ID,Year,Period_Type,Revenue_Growth_YoY_Pct,Cost_Growth_YoY_Pct,Cost_Revenue_Ratio_Pct,Opex_to_Revenue_Pct,EBITDA_Margin_Pct,PAT_Margin_Pct,Capex_Intensity_Pct,Subs_Growth_YoY_Pct,Data_Subs_Growth_Pct,MoMo_Subs_Growth_Pct,Data_Rev_Growth_YoY_Pct,MoMo_Rev_Growth_YoY_Pct,Digital_Rev_Growth_YoY_Pct,Voice_Rev_Growth_YoY_Pct,ARPU_Growth_YoY_Pct,Data_Share_Pct,MoMo_Share_Pct,Voice_Share_Pct,Digital_Share_Pct,Overall_KRI_Score
2020FY,2020,Annual,,,,47.2,54.7,22.7,21.9,,,,,,,,,,33,15.8,42.4,0.9,
2021FY,2021,Annual,40,33.3,83.2,44.9,55.6,25.3,21.8,6.6,18.4,14.1,58.8,77,86.9,20.9,30.9,37.5,20,36.6,1.3,Green
2022FY,2022,Annual,44.4,46.1,103.7,45.5,56.9,27.4,20.2,3.1,11.1,4.8,67.7,56.1,83.3,27,39.7,43.5,21.6,32.2,1.6,Amber
2023FY,2023,Annual,37.7,38.4,101.9,45.7,56.7,27.9,19,2.6,6.7,2.6,47.3,61,81.3,1.3,34.3,46.6,25.3,23.7,2.1,Green
2024FY,2024,Annual,33.5,37.4,111.6,47,57.1,28.6,20.4,4.8,9.4,9.6,43.9,43.3,99.2,-11.8,27.4,50.2,27.1,15.6,3.2,Amber
2025FY,2025,Annual,36.2,7.7,21.3,49.6,60.1,32,22.7,9.5,13.7,12.2,6.9,-7.5,-45.7,7.5,-4.2,52.6,24.6,16.5,1.7,Green
KRI_Category,KRI_Name,Unit,Green_Threshold,Amber_Threshold,Red_Threshold,Direction,Indicator_Type,Source_Sheet,Source_Field
Financial,Service Revenue Growth YoY,%,>25,15-25,<15,Higher_Better,Lagging,Annual,Service_Rev_Growth_Pct
Financial,EBITDA Margin,%,>55,50-55,<50,Higher_Better,Lagging,Annual,EBITDA_Margin_Pct
Financial,EBITDA Growth YoY,%,>25,15-25,<15,Higher_Better,Lagging,Annual,EBITDA_Growth_Pct
Financial,PAT Growth YoY,%,>30,20-30,<20,Higher_Better,Lagging,Annual,PAT_Growth_Pct
Financial,PAT Margin,%,>25,20-25,<20,Higher_Better,Lagging,Annual,PAT_Margin_Pct
Financial,Cost vs Revenue Growth Ratio,%,<80,80-100,>100,Lower_Better,Lagging,Derived_Ratios,Cost_Revenue_Ratio
Financial,Capex Intensity,%,20-25,15-20 or 25-30,<15 or >30,Range,Lagging,Annual,Capex_Intensity_Pct
Financial,EPS Growth YoY,%,>30,20-30,<20,Higher_Better,Lagging,Annual,EPS_Growth_Pct
Segment,Data Revenue Growth,%,>40,25-40,<25,Higher_Better,Lagging,Segments_Annual,Data_Growth_Pct
Segment,Data Share of Revenue,%,>50,45-50,<45,Higher_Better,Lagging,Segments_Annual,Data_Share_Pct
Segment,MoMo Revenue Growth,%,>35,20-35,<20,Higher_Better,Lagging,Segments_Annual,MoMo_Growth_Pct
Segment,MoMo Share of Revenue,%,>24,20-24,<20,Higher_Better,Lagging,Segments_Annual,MoMo_Share_Pct
Segment,Voice Revenue Growth,%,>5,-5 to 5,<-5,Higher_Better,Lagging,Segments_Annual,Voice_Growth_Pct
Segment,Digital Revenue Growth,%,>50,30-50,<30,Higher_Better,Lagging,Segments_Annual,Digital_Growth_Pct
Segment,Digital Share of Revenue,%,>2,1-2,<1,Higher_Better,Lagging,Segments_Annual,Digital_Share_Pct
Operational,Subscriber Growth YoY,%,>5,2-5,<2,Higher_Better,Lagging,Operational_Annual,Subs_Growth_Pct
Operational,Data Subscriber Growth,%,>10,5-10,<5,Higher_Better,Lagging,Operational_Annual,Data_Subs_Growth_Pct
Operational,MoMo User Growth,%,>10,5-10,<5,Higher_Better,Lagging,Operational_Annual,MoMo_Growth_Pct
Operational,Data Usage per User GB,GB,>10,7-10,<7,Higher_Better,Lagging,Operational_Annual,Data_Usage_GB_Annual
Operational,4G Population Coverage,%,>95,90-95,<90,Higher_Better,Lagging,Operational_Annual,4G_Coverage_Pct
Leading,CAC Trend,GHS,<70,70-80,>80,Lower_Better,Leading,Leading_Indicators,CAC_Proxy_GHS
Leading,Network Utilization,%,<75,75-85,>85,Lower_Better,Leading,Leading_Indicators,Network_Utilization_Pct
Leading,Data Session Failure,%,<2,2-5,>5,Lower_Better,Leading,Leading_Indicators,Data_Session_Failure_Pct
Leading,MoMo Transactions per User,count,>60,40-60,<40,Higher_Better,Leading,Leading_Indicators,MoMo_Trans_Per_User_Monthly
Leading,SIM Activation Index,index,>140,120-140,<120,Higher_Better,Leading,Leading_Indicators,SIM_Activation_Index
Leading,Working Capital Days,days,<30,30-40,>40,Lower_Better,Leading,Leading_Indicators,Working_Capital_Days
Leading,Cedi-USD Stability,%_chg,<10,10-20,>20,Lower_Better,Leading,Macro_Context,Cedi_USD_YoY_Change
Leading,Inflation YoY,%,<15,15-25,>25,Lower_Better,Leading,Macro_Context,Inflation_YoY_Pct
KPI_ID,Category,KPI,Type,FY25_Base_Value,Unit,Direction,Notes
FIN01,Financial,Service revenue (GHSm),Lagging,24400,GHSm,higher,FY25 audited
FIN02,Financial,EBITDA (GHSm),Lagging,14700,GHSm,higher,FY25 audited
FIN03,Financial,EBITDA margin (%),Lagging,60.1,%,higher,FY25 — expanded from 57.1% in FY24
FIN04,Financial,PAT (GHSm),Lagging,7800,GHSm,higher,FY25 audited profit after tax
FIN05,Financial,PAT margin (%),Lagging,32,%,higher,FY25
FIN06,Financial,Service revenue growth YoY (%),Lagging,36.2,%,higher,FY25 vs FY24 audited
FIN07,Financial,EBITDA growth YoY (%),Lagging,43.5,%,higher,FY25 vs FY24
FIN08,Financial,EPS (GHS),Lagging,0.5923,GHS,higher,FY25 audited
FIN09,Financial,Dividend per share (GHS),Lagging,0.48,GHS,higher,FY25
FIN10,Financial,Capex (GHSm),Leading,5545,GHSm,higher,FY25 — supporting infrastructure investment
FIN11,Financial,Capex intensity (%),Leading,22.7,%,higher,Capex / revenue, FY25
FIN12,Financial,Total assets (GHSm),Lagging,49500,GHSm,higher,FY25 balance sheet
FIN13,Financial,Total opex (GHSm),Lagging,12100,GHSm,lower,FY25 — note 7.7% growth vs 36.2% rev growth
SEG01,Strategic,Data revenue (GHSm),Lagging,12835,GHSm,higher,FY25 — 6.9% growth
SEG02,Strategic,Data share of revenue (%),Lagging,52.6,%,higher,FY25 — strongest segment
SEG03,Strategic,MoMo revenue (GHSm),Lagging,6000,GHSm,higher,FY25 — declined 7.5% (e-levy headwind eased)
SEG04,Strategic,MoMo share of revenue (%),Lagging,24.6,%,higher,FY25
SEG05,Strategic,Voice revenue (GHSm),Lagging,4020,GHSm,higher,FY25 — recovery vs FY24
SEG06,Strategic,Digital revenue (GHSm),Leading,410,GHSm,higher,FY25 — declined post peak
OPS01,Operational,Total subscribers (m),Lagging,31.2,m,higher,FY25 closing — 9.5% growth
OPS02,Operational,Active data subscribers (m),Leading,19.9,m,higher,FY25 closing
OPS03,Operational,Data penetration (%),Leading,63.8,%,higher,Data subs / total subs
OPS04,Operational,Active MoMo users (m),Leading,19.3,m,higher,FY25 — 12.2% growth
OPS05,Operational,Data usage per user (GB),Leading,14.5,GB,higher,FY25 — up from 9.8GB in FY24
OPS06,Operational,4G population coverage (%),Leading,99.5,%,higher,Near-universal coverage
OPS07,Operational,Network sites (count),Leading,8650,count,higher,FY25 — 8,650 sites
OPS08,Operational,Average ARPU (GHS),Lagging,66.9,GHS,higher,FY25 — affected by FX appreciation
OPS09,Operational,Subscriber growth YoY (%),Lagging,9.5,%,higher,Strongest in 5-year period
LED01,Technology,Data session failure (%),Leading,1.7,%,lower,Q4 25 — improving trend
LED02,Technology,Network utilization (%),Leading,82,%,lower,Q4 25 — capacity headroom
LED03,Operational,CAC proxy (GHS),Leading,70,GHS,lower,Q4 25 — declining (good)
LED04,Operational,MoMo transactions per user/mo,Leading,76,count,higher,Q4 25
LED05,Operational,SIM activation index,Leading,174,index,higher,Indexed to 2020Q1 = 100
LED06,Operational,Working capital days,Leading,25,days,lower,Q4 25
EXT01,External,Inflation YoY (%),Leading,5.4,%,lower,FY25 — sharp drop from 23.8% to 5.4%
EXT02,External,BoG policy rate (%),Leading,16,%,lower,FY25 year-end
EXT03,External,Cedi/USD rate (avg),Lagging,11.6,GHS/USD,lower,FY25 — Cedi appreciated
EXT04,External,Cedi YoY change vs USD (%),Lagging,21.6,%,higher,FY25 — +21.6% appreciation
EXT05,External,Ghana GDP growth (%),Leading,6.5,%,higher,FY25 macro tailwind
EXT06,External,Mobile penetration (%),Leading,151,%,higher,Market context
KPI_ID,Category,KPI,Type,FY25_Base_Value,Unit,Direction,Notes
FIN01,Financial,Service revenue (GHSm),Lagging,24400,GHSm,higher,FY25 audited
FIN02,Financial,EBITDA (GHSm),Lagging,14700,GHSm,higher,FY25 audited
FIN03,Financial,EBITDA margin (%),Lagging,60.1,%,higher,FY25 — expanded from 57.1% in FY24
FIN04,Financial,PAT (GHSm),Lagging,7800,GHSm,higher,FY25 audited profit after tax
FIN05,Financial,PAT margin (%),Lagging,32,%,higher,FY25
